full_name;m  ;*=Y   ;Date/Time   ;IP max  ;PS max ;TS  ;Vel km/s ;Years     ;IP cum   ;PS cum ;a;e;i;om;w;q;ad;per_y;data_arc;condition_code;n_obs_used;n_del_obs_used;n_dop_obs_used;H;pha;spkid;pdes;name;prefix;neo;sats;G;M1;M2;K1;K2;PC;diameter;extent;albedo;rot_per;GM;BV;UB;IR;spec_B;spec_T;H_sigma;diameter_sigma;orbit_id;epoch;epoch_mjd;epoch_cal;equinox;ma;n;tp;tp_cal;per;moid;moid_ld;moid_jup;t_jup;sigma_e;sigma_a;sigma_q;sigma_i;sigma_om;sigma_w;sigma_ma;sigma_ad;sigma_n;sigma_tp;sigma_per;class;producer;first_obs;last_obs;rms;two_body;A1;A1_sigma;A2;A2_sigma;A3;A3_sigma;DT;DT_sigma
2020CW;1.2 ;*    ;2057-01-31 13:36 ;1.33E-6 ;-9.07 ;0 ;22.92  ;2046-2057 ;1.35E-6 ;-9.06 ;1.082;0.6080;5.93;131.79;120.45;0.424;1.74;1.13;;7;12;;;32.56;N;3989456;2020 CW;;;Y;0;;;;;;;;;;;;;;;;;0.20;;3;2461000.5;61000;2025-11-21.0;J2000;8.02;0.8754;2460991.34;2025-11-11.8;411;5.92e-05;0.023;3.32;5.53;4.6e-04;9.3e-04;1.5e-04;3.8e-03;3.8e-03;1.3e-02;2.4e+00;1.5e-03;1.1e-03;2.7e+00;5.3e-01;APO;Otto Matic;2020-02-01;2020-02-01;.39796;;;;;;;;;
2020NW8;1.2 ;*    ;2037-07-10 04:27 ;8.05E-6 ;-8.06 ;0 ;14.47  ;2037-2122 ;1.18E-4 ;-7.51 ;1.933;0.5042;0.09;275.73;46.15;0.958;2.91;2.69;;8;5;;;32.49;N;54499710;2020 NW8;;;Y;0;;;;;;;;;;;;;;;;;0.36;;JPL 1;2459039.5;59039;2020-07-09.0;J2000;349.60;0.3668;2459067.86;2020-08-06.3;981;0.000297;0.116;2.44;3.75;2.8e-03;1.0e-02;2.9e-04;1.5e-03;2.2e-01;2.4e-01;8.8e-02;1.5e-02;2.9e-03;1.6e-02;7.8e+00;APO;Otto Matic;2020-07-09;2020-07-09;.16381;;;;;;;;;
2021UP120;1.2 ;*    ;2075-04-27 00:03 ;9.70E-8 ;-10.47 ;0 ;17.21  ;2032-2120 ;2.39E-7 ;-10.22 ;1.323;0.4588;4.77;36.47;83.36;0.716;1.93;1.52;;9;11;;;32.52;N;54425757;2021 UP120;;;Y;0;;;;;;;;;;;;;;;;;0.24;;JPL 1;2459516.5;59516;2021-10-29.0;J2000;324.47;0.6473;2459571.39;2021-12-22.8;556;0.000144;0.0559;3.18;4.83;1.0e-02;1.6e-02;4.6e-03;1.1e-01;1.2e-03;8.5e-02;9.0e-01;2.3e-02;1.2e-02;3.9e-01;1.0e+01;APO;Otto Matic;2021-10-29;2021-10-29;.068775;;;;;;;;;
2019AS5;1.3 ;*    ;2121-09-05 22:05 ;1.47E-7 ;-10.72 ;0 ;15.13  ;2081-2121 ;1.56E-7 ;-10.68 ;1.348;0.3924;0.70;106.77;294.34;0.819;1.88;1.57;3;5;20;;;32.30;N;3837685;2019 AS5;;;Y;0;;;;;;;;;;;;;;;;;0.38;;4;2461000.5;61000;2025-11-21.0;J2000;170.21;0.6298;2460730.23;2025-02-23.7;572;0.000129;0.0502;3.54;4.8;3.1e-05;5.1e-05;1.0e-05;5.6e-05;6.6e-05;2.6e-04;9.2e-02;7.1e-05;3.6e-05;1.3e-01;3.2e-02;APO;Otto Matic;2019-01-08;2019-01-11;.41451;;;;;;;;;
2017UL6;1.4 ;*    ;2069-10-27 10:32 ;2.56E-5 ;-8.07 ;0 ;13.26  ;2062-2119 ;6.09E-5 ;-7.71 ;1.101;0.2544;3.15;214.68;262.13;0.821;1.38;1.15;1;7;15;;;32.00;N;3788072;2017 UL6;;;Y;0;;;;;;;;;;;;;;;;;;;2;2461000.5;61000;2025-11-21.0;J2000;300.15;0.8536;2461070.62;2026-01-30.1;422;0.0002;0.078;3.71;5.62;3.5e-04;5.1e-04;3.5e-05;6.7e-03;1.4e-04;5.5e-02;1.7e+00;6.4e-04;5.9e-04;2.1e+00;2.9e-01;APO;Otto Matic;2017-10-27;2017-10-28;.42376;;;;;;;;;
2019UN13;1.4 ;*    ;2111-11-01 04:11 ;3.28E-7 ;-10.21 ;0 ;15.13  ;2109-2111 ;3.45E-7 ;-10.19 ;1.45;0.4216;1.50;217.43;241.93;0.839;2.06;1.75;;7;16;;;32.00;N;3892165;2019 UN13;;;Y;0;;;;;;;;;;;;;;;;;0.38;;2;2461000.5;61000;2025-11-21.0;J2000;143.90;0.5646;2460745.65;2025-03-11.1;638;0.000116;0.0453;3.13;4.55;7.7e-04;9.8e-04;5.6e-04;3.9e-03;2.6e-03;4.4e-01;2.5e+00;1.4e-03;5.7e-04;4.3e+00;6.4e-01;APO;Otto Matic;2019-10-31;2019-10-31;.45576;;;;;;;;;
2021VM96;1.4 ;*    ;2091-11-08 01:22 ;1.50E-6 ;-9.13 ;0 ;19.66  ;2067-2091 ;2.18E-6 ;-8.93 ;2.498;0.6572;15.67;227.28;229.22;0.856;4.14;3.95;;9;5;;;32.03;N;54423140;2021 VM96;;;Y;0;;;;;;;;;;;;;;;;;0.18;;JPL 1;2459527.5;59527;2021-11-09.0;J2000;351.31;0.2496;2459562.29;2021-12-13.7;1.44e+03;0.00148;0.575;1.43;3.09;2.5e-02;1.7e-01;2.9e-03;4.3e-01;1.0e-03;5.5e-02;1.0e+00;2.9e-01;2.6e-02;3.8e-01;1.5e+02;APO;Otto Matic;2021-11-09;2021-11-09;.039033;;;;;;;;;
2008UM1;1.4 ;*    ;2073-10-20 14:07 ;7.43E-8 ;-10.36 ;0 ;19.22  ;2073-2073 ;7.43E-8 ;-10.36 ;2.338;0.6827;5.29;208.94;111.87;0.742;3.93;3.57;;9;9;;;32.10;N;3432678;2008 UM1;;;Y;0;;;;;;;;;;;;;;;;;;;JPL 13;2454761.5;54761;2008-10-22.0;J2000;11.54;0.2758;2454719.66;2008-09-10.1;1.31e+03;1.16e-05;0.00452;1.49;3.2;1.5e-01;1.0e+00;2.6e-02;7.8e-01;1.2e-02;1.1e+00;8.6e+00;1.7e+00;1.8e-01;3.7e+00;8.6e+02;APO;Otto Matic;2008-10-22;2008-10-22;.44156;;;;;;;;;
2020ME63;1.5 ;*    ;2056-06-22 14:21 ;8.09E-8 ;-10.20 ;0 ;14.15  ;2056-2056 ;8.09E-8 ;-10.20 ;2.21;0.5491;2.56;91.85;157.03;0.996;3.42;3.29;;7;6;;;31.91;N;54499718;2020 ME63;;;Y;0;;;;;;;;;;;;;;;;;0.06;;1;2461000.5;61000;2025-11-21.0;J2000;240.24;0.3;2461399.68;2026-12-25.1;1.2e+03;0.00232;0.902;1.62;3.44;8.5e-04;5.5e-03;6.2e-04;1.4e-02;4.1e-01;4.9e-01;1.8e+00;8.6e-03;1.1e-03;7.4e+00;4.5e+00;APO;Otto Matic;2020-06-23;2020-06-23;.073899;;;;;;;;;
2022PW40;1.5 ;*    ;2059-08-05 05:58 ;3.41E-5 ;-7.67 ;0 ;12.90  ;2059-2059 ;3.41E-5 ;-7.67 ;1.701;0.4109;2.73;312.66;342.87;1.002;2.40;2.22;;8;6;;;31.88;N;54399493;2022 PW40;;;Y;0;;;;;;;;;;;;;;;;;0.12;;JPL 1;2459796.5;59796;2022-08-05.0;J2000;6.38;0.4444;2459782.15;2022-07-21.6;810;0.000272;0.106;2.82;4.1;2.1e-03;6.0e-03;7.8e-06;8.7e-03;6.7e-05;3.3e-02;5.1e-02;8.5e-03;2.4e-03;3.9e-02;4.3e+00;APO;Otto Matic;2022-08-05;2022-08-05;.09136;;;;;;;;;
2023HW39;1.5 ;*    ;2096-04-14 16:31 ;2.42E-4 ;-7.16 ;0 ;13.41  ;2042-2119 ;6.97E-4 ;-6.65 ;2.233;0.5497;0.65;26.40;182.00;1.005;3.46;3.34;;8;8;;;31.99;N;54499712;2023 HW39;;;Y;0;;;;;;;;;;;;;;;;;0.17;;JPL 1;2460051.5;60051;2023-04-17.0;J2000;359.48;0.2954;2460053.25;2023-04-18.7;1.22e+03;0.00111;0.434;1.5;3.42;2.5e-03;1.2e-02;3.8e-06;2.9e-03;5.1e-04;2.2e-02;3.0e-03;1.9e-02;2.4e-03;1.7e-02;1.0e+01;APO;Otto Matic;2023-04-17;2023-04-17;.098663;;;;;;;;;
2017WE30;1.5 ;*    ;2079-11-27 06:39 ;1.20E-8 ;-11.09 ;0 ;21.28  ;2079-2079 ;1.20E-8 ;-11.09 ;2.123;0.6728;1.02;65.20;73.95;0.695;3.55;3.09;;9;13;;;31.81;N;3796296;2017 WE30;;;Y;0;;;;;;;;;;;;;;;;;0.22;;JPL 2;2458083.5;58083;2017-11-26.0;J2000;345.82;0.3187;2458128.01;2018-01-09.5;1.13e+03;0.000195;0.076;1.5;3.4;5.3e-03;3.0e-02;1.5e-03;9.8e-03;5.8e-03;2.8e-02;3.4e-01;5.0e-02;6.7e-03;1.3e-01;2.4e+01;APO;Otto Matic;2017-11-26;2017-11-26;.81771;;;;;;;;;
2025SU4;1.5 ;*    ;2125-09-26 21:25 ;1.33E-6 ;-9.60 ;n/a ;13.21  ;2114-2125 ;3.77E-6 ;-9.14 ;0.9705;0.2510;1.64;1.43;111.58;0.727;1.21;0.956;1;5;30;;;31.82;N;54546914;2025 SU4;;;Y;0;;;;;;;;;;;;;;;;;0.36;;JPL 5;2461000.5;61000;2025-11-21.0;J2000;336.04;1.031;2461023.74;2025-12-14.2;349;0.000193;0.0753;3.87;6.2;2.2e-05;4.3e-05;1.7e-05;1.3e-03;2.8e-04;9.5e-03;8.6e-03;5.3e-05;6.8e-05;6.8e-03;2.3e-02;ATE;Otto Matic;2025-09-23;2025-09-24;.34515;;;;;;;;;
2021VP11;1.6 ;*    ;2038-11-09 23:37 ;5.02E-5 ;-7.11 ;0 ;14.32  ;2028-2120 ;1.05E-4 ;-6.97 ;1.278;0.3542;1.30;47.65;68.27;0.826;1.73;1.45;;9;11;;;31.81;N;54219301;2021 VP11;;;Y;0;;;;;;;;;;;;;;;;;0.16;;JPL 1;2459527.5;59527;2021-11-09.0;J2000;324.66;0.682;2459579.31;2021-12-30.8;528;0.000131;0.0509;3.37;5;7.4e-03;9.9e-03;3.1e-03;3.2e-02;5.1e-03;1.3e-01;5.5e-01;1.3e-02;8.0e-03;2.0e-01;6.2e+00;APO;Otto Matic;2021-11-09;2021-11-09;.36078;;;;;;;;;
